MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,RMS,Zero_Crossing_Rate,label
-387.35416,134.81079,-19.18785,2.5696652,40.43757,18.440428,-14.896471,-5.2595763,-13.691019,0.44700193,2.7061222,-9.721048,-22.571299,0.44383273,0.4849591,0.31954628,0.26769644,0.23837976,0.27556327,0.31687042,0.4013909,0.48838142,0.42448193,0.34624848,0.31290343,0.04686936,0.05180260894495413,elif
-413.79608,155.12782,1.8236883,-17.137539,8.179191,38.242664,23.415154,7.6503215,7.300982,-7.1151505,-12.764615,-4.6406636,7.94963,0.4630644,0.43683273,0.36556718,0.36936966,0.5100158,0.5302992,0.38779095,0.30526713,0.27329314,0.30953693,0.31612995,0.39040348,0.047129124,0.032512330789170506,elif
138.45294,42.257584,-12.739228,8.426047,-1.8013147,-6.079662,-4.0286193,-3.239538,-12.377898,-14.596671,-5.955091,-1.5636251,-4.010439,0.38458917,0.40848222,0.35235643,0.2750727,0.22390012,0.27643818,0.30089554,0.41702005,0.47580972,0.35401657,0.27316883,0.26767746,0.98899883,0.09547617737676056,elif
-385.85986,135.75697,-20.75812,1.0521071,42.821007,20.630852,-16.186453,-7.632712,-14.959005,0.3267489,2.6106508,-9.619488,-22.15137,0.39542258,0.48533705,0.36276925,0.2847327,0.20786685,0.22875392,0.27548417,0.34819418,0.4426029,0.41240597,0.3199518,0.2994594,0.048239633,0.05191884142287234,elif
-316.19452,218.72707,-32.606476,-43.316086,9.099348,10.349841,-20.465223,-2.469015,-2.3311236,-1.2225028,-4.9600782,4.551011,-3.7071254,0.32817683,0.31027326,0.30075282,0.21892504,0.337691,0.48943704,0.5916055,0.6641978,0.8951363,0.48128992,0.45363724,0.3252853,0.041676734,0.04699286099137931,elif
-377.41525,196.46541,47.393158,-12.693165,-8.173441,22.54961,23.152617,1.5129985,-0.9800538,-0.29878384,-0.87523067,-1.5834634,0.48035005,0.5628738,0.51400805,0.49075353,0.35659483,0.3570738,0.27862734,0.27842706,0.32847306,0.46163416,0.5328213,0.63120604,0.6503967,0.075699955,0.020667124602754237,elif
142.96475,54.92067,-15.706181,5.2202077,-2.0586736,-5.05255,-5.824442,-4.9932065,-7.7564707,-6.5666256,-4.002568,-3.0179477,-2.985379,0.17412566,0.21518412,0.21858558,0.2575159,0.24856777,0.30071464,0.42093867,0.49295092,0.5749004,0.41931134,0.32937798,0.26889458,0.9891862,0.0662687059859155,elif
-334.8822,187.94115,-2.3612142,-20.617178,25.72,15.958738,-15.760972,-3.60755,-0.07177053,-2.7416816,-8.415247,-9.582246,-14.239898,0.26183656,0.20513542,0.20983252,0.24230722,0.32673874,0.38446727,0.48782894,0.54385877,0.5343236,0.4075845,0.38782012,0.25385687,0.077372804,0.035305158466312055,elif
-308.71405,161.35837,-14.924168,6.5819592,42.902508,8.405063,-28.467768,-17.160831,-1.3597406,-7.401577,-13.863452,-11.90394,-15.6865015,0.27616134,0.3596211,0.43687883,0.24238366,0.17163946,0.25496817,0.46813768,0.5977933,0.6235847,0.5361813,0.40548435,0.25204805,0.07670286,0.035306490384615384,elif
-345.26266,128.25157,-22.626734,32.44483,30.450773,-27.994558,-27.200478,-5.5360255,-9.36949,-9.134109,-16.47147,-16.967987,-2.9152284,0.29440904,0.30886045,0.38425294,0.43368,0.39573684,0.42122033,0.347899,0.29619032,0.22257385,0.13664436,0.13436478,0.21207932,0.08572842,0.0694896556712963,elif
